sos_name,sos,source_url,updated_at_utc
Montana,229,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Brown,230,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Canisius,231,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Columbia,232,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Nicholls,233,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
East Texas A&M,234,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
North Carolina A&T,235,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
UTRGV,236,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Temple,237,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Southern Miss,238,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
California Baptist,239,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Eastern Illinois,240,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
UC Santa Barbara,241,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Sacramento State,242,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Oral Roberts,243,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Monmouth,244,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Sacred Heart,245,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Lipscomb,246,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
South Carolina Upstate,247,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Southeast Missouri,248,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
UNCG,249,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Ball State,250,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Bellarmine,251,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
FGCU,252,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
